"Južna Afrika - Kanada","2","0:1","2"
"Brazil - Japan","1","2:1","2"
"Njemačka - Paragvaj","1","1:1","0"
"Nizozemska - Maroko","2","1:1","0"
"Obala Bjelokosti - Norveška","2","1:2","2"
"Francuska - Švedska","1","3:0","2"
"Meksiko - Ekvador","1","2:0","2"
"Engleska - Kongo","1","2:1","2"
"Belgija - Senegal","1","2:2","0"
"SAD - Bosna","2","",""
"Španjolska - Austrija","1","",""
"Portugal - Hrvatska","1","",""
"Švicarska - Alžir","1","",""
"Australija - Egipat","1","",""
"Argentina - Zelenortska Republika","1","",""
"Kolumbija - Ghana","1","",""
