"Meksiko - Južna Afrika","1","2:0","2"
"Južna Koreja - Češka","1","2:1","2"
"Kanada - Bosna","2","1:1","0"
"SAD - Paragvaj","x","4:1","0"
"Katar - Švicarska","2","1:1","0"
"Brazil - Maroko","x","1:1","2"
"Haiti - Škotska","2","0:1","2"
"Australija - Turska","2","2:0","0"
"Njemačka - Curacao","1","7:1","2"
"Nizozemska - Japan","1","2:2","0"
"Obala Bjelokosti - Ekvador","1","1:0","2"
"Švedska - Tunis","1","5:1","2"
"Španjolska - Zelenortska Republika","1","0:0","0"
"Belgija - Egipat","1","1:1","0"
"Saudijska Arabija - Urugvaj","2","1:1","0"
"Iran - Novi Zeland","1","2:2","0"
"Francuska - Senegal","1","3:1","2"
"Irak - Norveška","2","1:4","2"
"Argentina - Alžir","1","3:0","2"
"Austrija - Jordan","1","3:1","2"
"Portugal - Kongo","1","1:1","0"
"Engleska - Hrvatska","x","4:2","0"
"Gana - Panama","1","1:0","2"
"Uzbekistan - Kolumbija","2","1:3","2"
"UKUPNO","/","/","26"
